bidder_id,bid_amount,successful_projects,failed_projects,minor_civil,tax_violation,labour_law,environmental,blacklisting,corruption_fraud,liquidity,credit_rating,profitability,qualified_employees,equipment_availability,technology_maturity,relevant_experience_years
B_brand_new,400000.0,0,0,0,0,0,0,0,0,0.7,0.7,0.5,15,0.6,3.0,1.0
B_legal_test,450000.0,15,1,2,1,0,0,0,0,0.8,0.8,0.6,25,0.8,6.0,8.0
B_cheap_but_weak,150000.0,10,2,0,0,0,0,0,0,0.1,0.1,0.05,1,0.1,1.0,0.5
B_fails_threshold,250000.0,1,15,0,0,0,0,0,0,0.9,0.9,0.8,80,0.95,9.0,15.0
B005,559000.0,6,5,0,0,0,0,0,0,0.89,0.54,0.45,13,0.64,6.0,18.0
B006,539000.0,40,1,0,0,0,0,0,0,0.55,0.89,0.66,30,0.88,8.0,10.0
B007,302000.0,26,0,0,0,0,0,0,0,0.84,0.83,0.52,58,0.63,7.0,13.0
B008,526000.0,50,0,0,0,0,0,0,0,0.53,0.55,0.37,91,0.93,5.0,13.0
B009,408000.0,47,2,0,0,0,0,0,0,0.69,0.61,0.48,44,1.0,6.0,12.0
B010,667000.0,8,1,1,0,0,0,0,0,0.9,0.76,0.63,37,0.86,9.0,16.0
B011,296000.0,13,1,0,0,0,0,0,0,0.72,0.66,0.8,27,0.8,4.0,3.0
B012,676000.0,14,5,0,0,0,0,0,0,0.73,0.71,0.35,80,0.94,3.0,5.0
B013,581000.0,39,2,0,0,0,0,0,0,0.4,0.82,0.63,74,0.9,4.0,11.0
B014,666000.0,37,4,0,0,0,0,0,0,0.91,0.91,0.56,72,0.61,8.0,11.0
B015,347000.0,20,4,1,0,0,0,0,0,0.82,0.84,0.28,70,0.98,5.0,10.0
B016,500000.0,43,3,2,1,0,0,0,0,0.79,0.68,0.6,57,0.78,10.0,5.0
B017,351000.0,9,2,0,0,0,0,0,0,0.79,0.53,0.24,14,0.94,4.0,18.0
B018,346000.0,47,3,0,0,0,0,0,0,0.66,0.85,0.68,34,0.64,9.0,13.0
B019,444000.0,34,5,0,0,0,0,0,0,0.8,0.86,0.27,34,0.68,10.0,6.0
B020,444000.0,22,3,0,1,0,0,0,0,0.7,0.52,0.8,11,0.99,6.0,7.0
