bidder_id,bid_amount,unique_clients_count,total_success_projects,total_failed_projects,self_declared_civil_cases,verified_civil_cases,self_declared_tax_cases,verified_tax_cases,liquidity,credit_rating,profitability,registration_age_years,turnover,qualified_employees,equipment_availability,technology_maturity,relevant_experience_years,declared_assets_count,beneficial_owners
B_brand_new,400000.0,0,0,0,0,0,0,0,0.7,0.7,0.5,3.0,120000.0,15,0.6,3.0,1.0,2,Owner_BrandNew
B_legal_test,450000.0,1,15,1,2,2,1,1,0.8,0.8,0.6,5.0,250000.0,25,0.8,6.0,8.0,2,Owner_LegalTest
B_legal_undisclosed,460000.0,1,12,2,0,2,0,1,0.8,0.8,0.6,5.0,250000.0,25,0.8,6.0,8.0,1,Owner_LegalUndisclosed
B_cheap_but_weak,150000.0,1,10,2,0,0,0,0,0.1,0.1,0.05,0.5,20000.0,1,0.1,1.0,0.5,0,Owner_Cheap
B_fails_threshold,250000.0,1,1,15,0,0,0,0,0.9,0.9,0.8,10.0,500000.0,80,0.95,9.0,15.0,1,Owner_FailsThreshold
B_colluder_A,380000.0,1,20,2,0,0,0,0,0.75,0.75,0.6,4.0,300000.0,30,0.75,5.0,6.0,2,"Owner_Alpha,Owner_Beta"
B_colluder_B,382000.0,1,20,2,0,0,0,0,0.75,0.75,0.6,4.0,300000.0,30,0.75,5.0,6.0,2,"Owner_Alpha,Owner_Gamma"
B008,559000.0,1,13,1,0,0,0,0,0.45,0.69,0.22,5.2,509000.0,13,0.82,9.0,9.0,3,"Owner_B008_1,Owner_B008_2"
B009,458000.0,2,20,3,1,1,0,0,0.45,0.88,0.56,12.6,686000.0,78,0.65,9.0,4.0,3,"Owner_B009_1,Owner_B009_2"
B010,513000.0,3,29,3,0,0,0,0,0.49,0.66,0.6,11.3,650000.0,19,0.84,5.0,19.0,3,"Owner_B010_1,Owner_B010_2"
B011,606000.0,1,19,3,1,1,0,0,0.58,0.85,0.23,12.8,746000.0,61,0.71,6.0,20.0,3,"Owner_B011_1,Owner_B011_2"
B012,684000.0,2,30,4,0,0,0,0,0.72,0.9,0.44,5.2,898000.0,75,0.8,3.0,5.0,3,"Owner_B012_1,Owner_B012_2"
B013,301000.0,1,18,0,0,0,0,0,0.7,0.92,0.61,3.9,809000.0,44,0.91,8.0,5.0,3,"Owner_B013_1,Owner_B013_2"
B014,376000.0,1,19,0,1,1,0,0,0.5,0.91,0.72,6.2,615000.0,87,0.68,8.0,7.0,3,"Owner_B014_1,Owner_B014_2"
B015,506000.0,3,27,5,1,1,1,1,0.67,0.53,0.66,12.1,211000.0,70,0.98,5.0,10.0,3,"Owner_B015_1,Owner_B015_2"
B016,500000.0,3,45,6,0,0,0,0,0.41,0.75,0.55,2.6,669000.0,17,0.69,3.0,12.0,3,"Owner_B016_1,Owner_B016_2"
B017,258000.0,1,13,3,0,0,1,1,0.66,0.85,0.68,4.9,187000.0,65,0.74,9.0,16.0,3,"Owner_B017_1,Owner_B017_2"
B018,678000.0,1,8,0,0,0,0,0,0.5,0.7,0.45,6.0,307000.0,19,0.78,4.0,3.0,3,"Owner_B018_1,Owner_B018_2"
B019,566000.0,3,37,2,1,1,0,0,0.61,0.92,0.67,6.1,660000.0,81,0.86,10.0,6.0,3,"Owner_B019_1,Owner_B019_2"
B020,321000.0,1,6,0,0,0,0,0,0.87,0.57,0.78,3.5,257000.0,86,0.63,6.0,14.0,3,"Owner_B020_1,Owner_B020_2"
