rank,bidder_id,price_score,performance_score,legal_trust,financial_score,technical_score,fused_trust,composite_score,passed_thresholds,is_winner
1,B007,0.4967,0.9643,1.0000,0.5591,0.6727,0.9241,0.7386,Yes,Winner
2,B018,0.4335,0.9231,1.0000,0.5884,0.6045,0.9015,0.7099,Yes,
3,B014,0.2252,0.8837,1.0000,0.7154,0.6966,0.8607,0.7042,Yes,
4,B011,0.5068,0.8750,1.0000,0.5863,0.3231,0.8039,0.6582,Yes,
5,B006,0.2783,0.9535,1.0000,0.4982,0.5602,0.9189,0.6580,Yes,
6,B009,0.3676,0.9412,1.0000,0.3112,0.6429,0.9123,0.6526,Yes,
7,B010,0.2249,0.8182,0.8187,0.6647,0.7001,0.7517,0.6453,Yes,
8,B013,0.2582,0.9302,1.0000,0.3184,0.6609,0.8949,0.6335,Yes,
9,B016,0.3000,0.9167,0.4966,0.4970,0.5631,0.8657,0.5547,Yes,
10,B_legal_test,0.3333,0.8889,0.4966,0.5923,0.4595,0.7771,0.5541,Yes,
11,B020,0.3378,0.8519,0.7408,0.4490,0.3601,0.7994,0.5479,Yes,
12,B005,0.2683,0.5385,1.0000,0.3332,0.4606,0.4989,0.5201,Yes,
13,B008,0.2852,0.9808,1.0000,0.1658,0.7782,0.9484,N/A,No,
14,B019,0.3378,0.8537,1.0000,0.2861,0.4956,0.8193,N/A,No,
15,B015,0.4323,0.8077,0.8187,0.2971,0.6719,0.7716,N/A,No,
16,B_cheap_but_weak,1.0000,0.7857,1.0000,0.0000,0.0351,0.6976,N/A,No,
17,B017,0.4274,0.7692,1.0000,0.1544,0.4690,0.6795,N/A,No,
18,B012,0.2219,0.7143,1.0000,0.2794,0.5086,0.6628,N/A,No,
19,B_brand_new,0.3750,0.5000,1.0000,0.3776,0.1736,0.3087,N/A,No,
20,B_fails_threshold,0.6000,0.1111,1.0000,1.0000,0.8828,0.2242,N/A,No,
