rank,bidder_id,price_score,performance_score,legal_trust,financial_score,technical_score,fused_trust,anomaly_score,composite_score,eligible,passed_thresholds,status
1,B020,1.1698,0.8670,1.0000,0.4491,0.7409,0.8376,0.0000,0.8454,Yes,Yes,Winner
2,B017,1.4554,0.7684,0.7408,0.4420,0.8167,0.7837,0.0000,0.8447,Yes,Yes,Passed
3,B013,1.2475,0.9403,1.0000,0.4571,0.5424,0.9125,0.0000,0.8375,Yes,Yes,Passed
4,B014,0.9987,0.9519,0.8187,0.3701,0.6488,0.9114,0.0000,0.7577,Yes,Yes,Passed
5,B019,0.6634,0.9263,0.8187,0.4347,0.6692,0.9022,0.0000,0.7025,Yes,Yes,Passed
6,B012,0.5490,0.8542,1.0000,0.3135,0.4834,0.8235,0.0000,0.6400,Yes,Yes,Passed
7,B_legal_test,0.8344,0.8889,0.4966,0.4453,0.5132,0.8029,0.0000,0.6357,Yes,Yes,Passed
8,B010,0.7320,0.8800,1.0000,0.1921,0.6132,0.8502,0.0000,N/A,Yes,No,Excluded
9,B016,0.7510,0.8686,1.0000,0.1588,0.4535,0.8468,0.0000,N/A,Yes,No,Excluded
10,B_colluder_A,0.9882,0.8750,1.0000,0.3833,0.2324,0.8351,0.8333,N/A,Yes,No,Excluded
11,B_colluder_B,0.9830,0.8750,1.0000,0.3833,0.2324,0.8349,0.8333,N/A,Yes,No,Excluded
12,B009,0.8199,0.8313,0.8187,0.2290,0.5445,0.7987,0.0000,N/A,Yes,No,Excluded
13,B011,0.6196,0.8257,0.8187,0.0845,0.7885,0.7899,0.0000,N/A,Yes,No,Excluded
14,B008,0.6717,0.8615,1.0000,0.0244,0.5084,0.7843,0.0000,N/A,Yes,No,Excluded
15,B_cheap_but_weak,2.5033,0.7812,1.0000,0.0000,0.0541,0.7832,0.0000,N/A,No,No,Excluded
16,B015,0.7421,0.8116,0.6065,0.2458,0.6770,0.7822,0.0000,N/A,Yes,No,Excluded
17,B018,0.5538,0.8832,1.0000,0.1433,0.3321,0.7427,0.0000,N/A,Yes,No,Excluded
18,B_legal_undisclosed,0.8163,0.8125,0.0012,0.4453,0.5132,0.6723,0.0000,N/A,Yes,No,Excluded
19,B_brand_new,0.9387,0.5000,1.0000,0.2600,0.2041,0.4500,0.0000,N/A,Yes,No,Excluded
20,B_fails_threshold,1.5020,0.1111,1.0000,0.7973,0.8778,0.2484,0.0000,N/A,Yes,No,Excluded
